"Deer.ID","Sample.Date","Year","Month","Origin","Sample1","Sample2","Species","Sex","Age","County","grid","Latitude","Longitude","status"
"A17918","2001-01-02","2001","Jan","Free-Ranging","Active "," Hunter Killed","White Tailed Deer","Female","Adult","Frederick","974",39.242,-78.1483,"0"
"B20460","2001-11-14","2001","Nov","Free-Ranging","Active "," Hunter Killed","White Tailed Deer","Male","Yearlings","Shenandoah","2122",38.871,-78.4043,"0"
"B02510","2001-11-21","2001","Nov","Free-Ranging","Active "," Hunter Killed","White Tailed Deer","Female","Adult","Shenandoah","3",38.762,-78.7416,"0"
"A1868","2001-12-02","2001","Dec","Free-Ranging","Active "," Hunter Killed","White Tailed Deer","Female","Adult","Clarke","810",39.1803,-78.0018,"0"
"B2051","2002-04-01","2002","Apr","Free-Ranging","Active "," Hunter Killed","White Tailed Deer","Female","Yearlings","Shenandoah","3175",38.7175,-78.6875,"0"
NA,"2002-09-18","2002","Sep","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-09-18","2002","Sep","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-09-18","2002","Sep","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-09-18","2002","Sep","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-09-25","2002","Sep","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Warren",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Yearlings","Clarke",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Clarke",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Clarke",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Adult","Clarke",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Yearlings","Frederick",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Adult","Frederick",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Warren",NA,NA,NA,"0"
NA,"2002-10-06","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Warren",NA,NA,NA,"0"
NA,"2002-10-07","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-07","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-07","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Warren",NA,NA,NA,"0"
NA,"2002-10-07","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Yearlings","Warren",NA,NA,NA,"0"
NA,"2002-10-09","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Frederick",NA,NA,NA,"0"
NA,"2002-10-09","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Adult","Frederick",NA,NA,NA,"0"
NA,"2002-10-09","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Frederick",NA,NA,NA,"0"
NA,"2002-10-09","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Frederick",NA,NA,NA,"0"
NA,"2002-10-09","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-09","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-09","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-11","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Frederick",NA,NA,NA,"0"
NA,"2002-10-11","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Adult","Frederick",NA,NA,NA,"0"
NA,"2002-10-11","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-11","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Male","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-11","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Yearlings","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-11","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Shenandoah",NA,NA,NA,"0"
NA,"2002-10-11","2002","Oct","Free-Ranging","Active "," Other","White Tailed Deer","Female","Adult","Warren",NA,NA,NA,"0"
